Date,Open,High,Low,Close,Volume,Adj Close
1/30/2014,58.42,60.11,58.42,59.51,3743200,59.23
1/29/2014,57.67,58.22,57.41,57.65,2163000,57.38
1/28/2014,58.5,58.88,57.91,58.1,2536000,57.83
1/27/2014,57.9,58.37,56.98,58.3,4669000,58.03
1/24/2014,59.22,59.46,57.71,57.87,2656300,57.6
1/23/2014,60.48,60.51,59.41,59.47,3063500,59.19
1/22/2014,60.82,61.22,60.71,60.93,2769400,60.64
1/21/2014,60.69,60.88,59.86,60.85,3008500,60.56
1/17/2014,60.83,60.83,60.33,60.71,1699500,60.43
1/16/2014,60.24,60.5,60.04,60.5,1836000,60.22
1/15/2014,59.82,60.37,59.59,60.34,2335200,60.06
1/14/2014,59.16,59.95,59.02,59.88,2562200,59.6
1/13/2014,58.77,59.1,58.6,58.93,2946700,58.65
1/10/2014,58.51,59.01,58.14,58.93,1623200,58.65
1/9/2014,58.4,58.68,57.87,58.41,1757600,58.14
1/8/2014,57.33,58.54,57.17,58.39,2659500,58.12
1/7/2014,56.95,57.63,56.93,57.45,1463200,57.18
1/6/2014,57.4,57.7,56.56,56.64,1777300,56.37
1/3/2014,56.39,57.35,56.26,56.92,1866700,56.65
1/2/2014,57.1,57.1,56.15,56.21,1916200,55.95
12/31/2013,57.45,57.55,57.08,57.19,941400,56.92
12/30/2013,57.05,57.46,56.92,57.32,1128000,57.05
12/27/2013,57.23,57.42,57.12,57.17,653100,56.9
12/26/2013,57.24,57.71,57.24,57.46,714400,57.06
12/24/2013,57.5,57.61,57.17,57.23,779700,56.83
12/23/2013,57.45,57.66,57.12,57.54,1578500,57.14
12/20/2013,57.47,57.67,56.91,56.96,2954000,56.56
12/19/2013,57.57,57.83,57.07,57.38,1893200,56.98
12/18/2013,56.5,57.94,56.37,57.89,4136300,57.49
12/17/2013,55.96,57.29,55.81,56.37,3208000,55.98
12/16/2013,55.25,55.79,55.07,55.24,1685500,54.85
12/13/2013,55.36,55.9,54.9,55.16,2022600,54.78
12/12/2013,54.63,55.52,54.3,55.26,2714300,54.87
12/11/2013,55.35,55.69,54.68,54.84,2344600,54.46
12/10/2013,54.91,55.46,54.63,55.34,2326900,54.95
12/9/2013,54.8,55.43,54.74,55.06,2118500,54.68
12/6/2013,53.76,54.93,53.76,54.83,3053300,54.45
12/5/2013,53.35,53.8,53.12,53.5,1810400,53.13
12/4/2013,52.84,53.83,52.72,53.58,2415800,53.21
12/3/2013,52.92,53.17,52.56,52.93,2476900,52.56
12/2/2013,53.47,53.67,53.11,53.21,1459200,52.84
11/29/2013,53.85,53.97,53.46,53.57,870400,53.2
11/27/2013,53.78,54,53.64,53.81,1189800,53.43
11/26/2013,53.26,53.93,53.23,53.65,3196300,53.28
11/25/2013,54.11,54.13,53.02,53.11,1750200,52.74
11/22/2013,54.1,54.34,53.75,53.85,1910800,53.47
11/21/2013,53.8,54.55,53.7,54.1,2417600,53.72
11/20/2013,53.83,54.26,53.47,53.53,2321500,53.16
11/19/2013,53.67,54.19,53.55,53.82,2473000,53.44
11/18/2013,54.45,54.98,53.67,54.05,4131500,53.67
11/15/2013,54.03,55.74,53.69,54.93,11014300,54.55
11/14/2013,51.2,51.2,50.36,50.54,2834900,50.19
11/13/2013,50.89,51.3,50.66,51.2,2110100,50.84
11/12/2013,51.2,51.4,50.76,51.2,2357200,50.84
11/11/2013,50.63,51.41,50.52,51.3,1984500,50.94
11/8/2013,50.14,50.94,50.01,50.78,1860600,50.43
11/7/2013,51.08,51.2,49.84,50.05,3548800,49.7
11/6/2013,51.19,51.32,50.8,51.04,1428700,50.68
11/5/2013,51.18,51.36,50.85,51.21,1578100,50.85
11/4/2013,51.39,51.46,50.95,51.21,1409900,50.85
11/1/2013,50.92,51.58,50.84,51.1,1931000,50.74
10/31/2013,51.15,51.33,50.45,50.76,1895500,50.41
10/30/2013,51.76,51.82,50.86,51.15,1360000,50.79
10/29/2013,51.52,51.9,51.23,51.7,1194000,51.34
10/28/2013,51.79,51.98,51.12,51.49,1778700,51.13
10/25/2013,51.34,51.91,51.09,51.87,2398300,51.51
10/24/2013,50.67,51.22,50.67,51.12,1785900,50.76
10/23/2013,50.76,50.88,50.3,50.65,2348600,50.3
10/22/2013,52.1,52.2,50.84,51.02,4280500,50.66
10/21/2013,53.04,53.14,51.9,51.99,2556400,51.63
10/18/2013,52.93,53.24,52.63,52.99,2880900,52.62
10/17/2013,51.25,52.7,51.13,52.65,3548400,52.28
10/16/2013,51.22,51.99,50.94,51.56,2488000,51.2
10/15/2013,51.08,51.19,50.6,50.88,1961900,50.52
10/14/2013,51.2,51.43,50.51,51.36,2110500,51
10/11/2013,50.88,51.67,50.66,51.46,1500900,51.1
10/10/2013,50.29,51.2,50.29,50.99,2426300,50.63
10/9/2013,50.23,50.38,49.39,49.95,2430600,49.6
10/8/2013,51.18,51.33,49.89,50.13,2408600,49.78
10/7/2013,51.34,51.59,51.07,51.13,1382100,50.77
10/4/2013,51.17,51.86,51.07,51.78,1867900,51.42
10/3/2013,51.56,51.57,50.91,51.06,1878500,50.7
10/2/2013,51.59,51.71,51.15,51.57,2020800,51.21
10/1/2013,50.7,52.08,50.7,51.9,2997000,51.54
9/30/2013,51.02,51.62,50.75,51.25,2650000,50.89
9/27/2013,51.84,52.1,51.4,51.63,2110100,51.27
9/26/2013,51.96,52.12,51.46,52.09,2680300,51.61
9/25/2013,51.59,52.13,51.44,51.83,2865100,51.35
9/24/2013,51.61,51.92,51.2,51.6,2203800,51.12
9/23/2013,51.91,52.24,51.38,51.67,2716900,51.19
