Date,Open,High,Low,Close,Volume,Adj Close
1/30/2014,502.54,506.5,496.7,499.78,169625400,70.23
1/29/2014,503.95,507.37,498.62,500.75,125702500,70.37
1/28/2014,508.76,515,502.07,506.5,266380800,71.17
1/27/2014,550.07,554.8,545.75,550.5,138719700,77.36
1/24/2014,554,555.62,544.75,546.07,107338700,76.73
1/23/2014,549.94,556.5,544.81,556.18,100809800,78.15
1/22/2014,550.91,557.29,547.81,551.51,94996300,77.5
1/21/2014,540.99,550.07,540.42,549.07,82131700,77.15
1/17/2014,551.48,552.07,539.9,540.67,106684900,75.97
1/16/2014,554.9,556.85,551.68,554.25,57319500,77.88
1/15/2014,553.52,560.2,551.66,557.36,97909700,78.32
1/14/2014,538.22,546.73,537.66,546.39,83140400,76.78
1/13/2014,529.91,542.5,529.88,535.73,94623200,75.28
1/10/2014,539.83,540.8,531.11,532.94,76244000,74.89
1/9/2014,546.8,546.86,535.35,536.52,69787200,75.39
1/8/2014,538.81,545.56,538.69,543.46,64632400,76.37
1/7/2014,544.32,545.96,537.92,540.04,79302300,75.89
1/6/2014,537.45,546.8,533.6,543.93,103152700,76.43
1/3/2014,552.86,553.7,540.43,540.98,98116900,76.02
1/2/2014,555.68,557.03,552.02,553.13,58671200,77.73
12/31/2013,554.17,561.28,554,561.02,55771100,78.83
12/30/2013,557.46,560.09,552.32,554.52,63407400,77.92
12/27/2013,563.82,564.41,559.5,560.09,56471100,78.7
12/26/2013,568.1,569.5,563.38,563.9,51002000,79.24
12/24/2013,569.89,571.88,566.03,567.67,41888700,79.77
12/23/2013,568,570.72,562.76,570.09,125326600,80.11
12/20/2013,545.43,551.61,544.82,549.02,109103400,77.15
12/19/2013,549.5,550,543.73,544.46,80077200,76.51
12/18/2013,549.7,551.45,538.8,550.77,141465800,77.39
12/17/2013,555.81,559.44,553.38,554.99,57475600,77.99
12/16/2013,555.02,562.64,555.01,557.5,70648200,78.34
12/13/2013,562.85,562.88,553.67,554.43,83205500,77.91
12/12/2013,562.14,565.34,560.03,560.54,65572500,78.77
12/11/2013,567,570.97,559.69,561.36,89929700,78.88
12/10/2013,563.58,567.88,561.2,565.55,69567400,79.47
12/9/2013,560.9,569.58,560.9,566.43,80123400,79.59
12/6/2013,565.79,566.75,559.57,560.02,86088100,78.69
12/5/2013,572.65,575.14,566.41,567.9,111895000,79.8
12/4/2013,565.5,569.19,560.82,565,94452400,79.39
12/3/2013,558.3,566.38,557.68,566.32,112742000,79.58
12/2/2013,558,564.33,550.82,551.23,118136200,77.46
11/29/2013,549.48,558.33,547.81,556.07,79531900,78.14
11/27/2013,536.31,546,533.4,545.96,90862100,76.72
11/26/2013,524.12,536.14,524,533.4,100345700,74.95
11/25/2013,521.02,525.87,521,523.74,57327900,73.6
11/22/2013,519.52,522.16,518.53,519.8,55931400,73.04
11/21/2013,517.6,521.21,513.67,521.14,65506700,73.23
11/20/2013,519.23,520.42,514.33,515,48479200,72.37
11/19/2013,519.03,523.38,517.97,519.55,52234700,73.01
11/18/2013,524.99,527.19,518.2,518.63,61236000,72.88
11/15/2013,526.58,529.09,524.49,524.99,79480100,73.77
11/14/2013,522.81,529.28,521.87,528.16,70604800,74.22
11/13/2013,518,522.25,516.96,520.63,49305200,73.16
11/12/2013,517.67,523.92,517,520.01,51069200,73.07
11/11/2013,519.99,521.67,514.41,519.05,56863100,72.94
11/8/2013,514.58,521.13,512.59,520.56,69829200,73.15
11/7/2013,519.58,523.19,512.38,512.49,65655100,72.01
11/6/2013,524.15,524.86,518.2,520.92,55843900,73.2
11/5/2013,524.58,528.89,523,525.45,66303300,73.41
11/4/2013,521.1,526.82,518.81,526.75,61156900,73.59
11/1/2013,524.02,524.8,515.84,520.03,68722500,72.65
10/31/2013,525,527.49,521.27,522.7,68924100,73.02
10/30/2013,519.61,527.52,517.02,524.9,88540900,73.33
10/29/2013,536.27,539.25,514.54,516.68,158951800,72.18
10/28/2013,529.04,531,523.21,529.88,137610200,74.03
10/25/2013,531.32,533.23,525.11,525.96,84448000,73.48
10/24/2013,525,532.47,522.45,531.91,96191200,74.31
10/23/2013,519,525.67,519,524.96,78430800,73.34
10/22/2013,526.41,528.45,508.03,519.87,133515900,72.63
10/21/2013,511.77,524.3,511.52,521.36,99526700,72.84
10/18/2013,505.99,509.26,505.71,508.89,72635500,71.09
10/17/2013,499.98,504.78,499.68,504.5,63398300,70.48
10/16/2013,500.79,502.53,499.23,501.11,62775300,70.01
10/15/2013,497.51,502,495.52,498.68,80018400,69.67
10/14/2013,489.83,497.58,489.35,496.04,65474500,69.3
10/11/2013,486.99,493.84,485.16,492.81,66934700,68.85
10/10/2013,491.32,492.38,487.04,489.64,69650700,68.4
10/9/2013,484.64,487.79,478.28,486.59,75431300,67.98
10/8/2013,489.94,490.64,480.54,480.94,72729300,67.19
