Date,Open,High,Low,Close,Volume,Adj Close
1/30/2014,310.72,321.25,310,318.28,1812000,318.28
1/29/2014,299.03,318.42,292.82,305.46,2773800,305.46
1/28/2014,302.38,306,297.02,305.65,1723700,305.65
1/27/2014,303.61,303.86,292.53,297.88,1515300,297.88
1/24/2014,314.78,315.13,303.14,303.6,1926700,303.6
1/23/2014,307.23,315.38,305.48,314.96,1578700,314.96
1/22/2014,309.8,315,306.32,310.54,1125200,310.54
1/21/2014,300.45,311.2,299.54,310.5,1793100,310.5
1/17/2014,293.6,298.98,293.19,297.48,1413600,297.48
1/16/2014,297.27,299.13,291.75,294,1051200,294
1/15/2014,297.48,298.63,292.32,296.72,1038700,296.72
1/14/2014,284.7,300.67,280.31,297.47,1651400,297.47
1/13/2014,299.35,302.95,281.55,283.67,2305500,283.67
1/10/2014,291.57,299.85,286.3,299.31,1866900,299.31
1/9/2014,292.05,297,288,289.75,1318700,289.75
1/8/2014,276.64,290.99,274.25,290.01,1436200,290.01
1/7/2014,275.83,277.17,273.45,273.52,819100,273.52
1/6/2014,278.03,279.36,270.62,274.97,1019000,274.97
1/3/2014,279.8,280.84,275.48,277.4,656000,277.4
1/2/2014,279.44,282.52,276.21,280.33,902200,280.33
12/31/2013,279.93,281.49,278.6,279.57,640600,279.57
12/30/2013,278.39,280.19,273.77,279.57,605200,279.57
12/27/2013,281.81,282.92,276.31,277.17,609600,277.17
12/26/2013,280.81,282.22,279.07,281.34,620600,281.34
12/24/2013,281.44,282.68,278.36,280.65,463300,280.65
12/23/2013,284.28,285,279.51,281.61,1075900,281.61
12/20/2013,278.46,285.54,275.03,283.34,3027500,283.34
12/19/2013,278.88,280.43,275.17,277.21,955800,277.21
12/18/2013,272.19,281.25,270.74,280.64,1870500,280.64
12/17/2013,274.55,276.59,270.27,271.51,1253000,271.51
12/16/2013,277.22,283.54,273.21,273.6,1178300,273.6
12/13/2013,278.02,279.41,271.59,275.32,1167300,275.32
12/12/2013,278.2,283.83,277.22,277.87,993600,277.87
12/11/2013,284.66,286.02,277.19,278.04,1270200,278.04
12/10/2013,286.83,288.9,281.28,285.23,937500,285.23
12/9/2013,292.99,293.2,284.7,286.18,1190000,286.18
12/6/2013,289.55,292.86,283,290.9,1214500,290.9
12/5/2013,284.95,288.73,282.12,284.92,1159000,284.92
12/4/2013,285.9,289.24,282.38,285.82,900200,285.82
12/3/2013,294.17,294.25,286.56,287.76,1419500,287.76
12/2/2013,291.71,298.82,290.52,294.84,1128500,294.84
11/29/2013,290,295.49,290,290.97,514200,290.97
11/27/2013,292.8,295.89,288.01,293.83,939700,293.83
11/26/2013,295.95,297.8,288.58,289.2,1584800,289.2
11/25/2013,286.54,297.98,284.51,295.88,2727900,295.88
11/22/2013,278,289.97,274.98,285.62,4698000,285.62
11/21/2013,247.3,253.22,245.31,252.43,1399500,252.43
11/20/2013,245.67,249.96,243,246.12,1014400,246.12
11/19/2013,241.97,248.75,240.68,245.46,1203500,245.46
11/18/2013,244.98,247.4,239.81,241.27,1224200,241.27
11/15/2013,237,245.81,236.8,245.09,1579700,245.09
11/14/2013,236.5,240.84,236.5,237.58,680900,237.58
11/13/2013,233.7,236.43,232.11,236.1,1006000,236.1
11/12/2013,233.5,235.63,231,235.62,991100,235.62
11/11/2013,236.23,237.43,232.36,234.79,770400,234.79
11/8/2013,233.12,237.54,230.25,236.69,1095900,236.69
11/7/2013,239.72,242.89,230.53,231.19,1444900,231.19
11/6/2013,245.27,245.98,237.63,238.48,1046700,238.48
11/5/2013,237.99,244.87,237.99,244.06,995300,244.06
11/4/2013,243.79,245.95,239.85,240.07,942200,240.07
11/1/2013,245.57,248.32,239.61,243.1,1593300,243.1
10/31/2013,249.23,251,244.17,244.19,1176100,244.19
10/30/2013,253.72,254.82,246.77,248.95,934500,248.95
10/29/2013,255.85,256,249.13,254.39,875300,254.39
10/28/2013,250.47,262,245.03,254.43,2578800,254.43
10/25/2013,250.53,252.83,247.76,252.26,1350800,252.26
10/24/2013,251.99,252.99,248.37,249.22,1035000,249.22
10/23/2013,249.8,251.84,247.43,251.12,993500,251.12
10/22/2013,244.25,251.96,243.02,250.6,1240300,250.6
10/21/2013,245.19,246.5,241.52,243.07,776000,243.07
10/18/2013,246.7,246.86,241.66,244.9,1122400,244.9
