Date,Open,High,Low,Close,Volume,Adj Close
1/30/2014,29.15,29.42,29.08,29.25,9095700,28.97
1/29/2014,28.92,29.15,28.75,29.02,13915700,28.74
1/28/2014,28.57,29.08,28.49,29,12407000,28.72
1/27/2014,28.53,29.09,28.38,28.6,15924800,28.33
1/24/2014,29.04,29.2,28.39,28.49,17016600,28.22
1/23/2014,29.42,29.73,29.06,29.37,9905300,29.09
1/22/2014,29.63,30.13,29.46,29.84,10237500,29.56
1/21/2014,29.8,29.96,29.45,29.9,12086500,29.62
1/17/2014,29.75,30.05,29.67,29.8,16056400,29.52
1/16/2014,29.5,29.82,29.12,29.56,22064600,29.28
1/15/2014,28.9,29.07,28.54,28.84,16377900,28.57
1/14/2014,28.12,28.85,28.09,28.85,14852600,28.58
1/13/2014,27.71,28.79,27.7,28.12,19713400,27.85
1/10/2014,27.73,27.77,27.27,27.7,14325800,27.44
1/9/2014,27.57,27.88,27.35,27.61,18030200,27.35
1/8/2014,28.18,28.2,27.36,27.45,15212800,27.19
1/7/2014,28.43,28.55,27.87,28.18,14321400,27.91
1/6/2014,28.3,28.5,27.9,28.29,10241000,28.02
1/3/2014,27.71,28.5,27.7,28.34,12675300,28.07
1/2/2014,27.88,28.22,27.45,27.66,13028200,27.4
12/31/2013,27.92,28.3,27.83,27.98,9961400,27.71
12/30/2013,28.24,28.26,27.95,28.07,7302600,27.8
12/27/2013,28.43,28.44,28.16,28.19,6848300,27.92
12/26/2013,28.2,28.7,28.19,28.31,7792300,28.04
12/24/2013,28,28.2,27.87,28.16,4983400,27.89
12/23/2013,27.99,28.1,27.75,28.05,9427700,27.78
12/20/2013,28.08,28.19,27.79,27.79,20481500,27.53
12/19/2013,27.55,28.23,27.51,28.04,15935700,27.77
12/18/2013,27.37,27.52,26.65,27.51,15155400,27.25
12/17/2013,27.54,27.86,27.33,27.45,19131300,27.19
12/16/2013,26.74,27.04,26.68,26.9,12428500,26.64
12/13/2013,26.67,26.88,26.29,26.77,11757700,26.52
12/12/2013,27.05,27.11,26.42,26.6,13422400,26.35
12/11/2013,26.85,27.18,26.85,26.99,15751300,26.73
12/10/2013,27,27.27,26.8,27.04,14763100,26.78
12/9/2013,27.61,27.68,27.2,27.25,15482100,26.99
12/6/2013,27.61,28.11,27.59,27.7,17175400,27.29
12/5/2013,28.15,28.18,27.03,27.25,22038900,26.85
12/4/2013,28.05,28.7,27.99,28.13,34062500,27.72
12/3/2013,27.23,27.77,27.18,27.5,17916300,27.1
12/2/2013,27.24,27.5,27.15,27.32,14408500,26.92
11/29/2013,27.04,27.54,27.01,27.35,11988000,26.95
11/27/2013,26.82,27.68,25.09,27.36,52192400,26.96
11/26/2013,25.21,25.45,25.09,25.09,25622100,24.72
11/25/2013,25.33,25.49,25.16,25.32,13955600,24.95
11/22/2013,25,25.34,24.86,25.26,10744300,24.89
11/21/2013,25.2,25.24,24.97,25.03,11265800,24.66
11/20/2013,24.97,25.26,24.77,24.94,17707900,24.57
11/19/2013,25.23,25.38,24.89,24.99,13023300,24.62
11/18/2013,25.32,25.38,24.96,25,11593000,24.63
11/15/2013,25.15,25.31,24.88,25.21,19314800,24.84
11/14/2013,25.75,25.94,24.84,25.07,26392100,24.7
11/13/2013,26.14,26.51,26.05,26.49,9289300,26.1
11/12/2013,26.19,26.59,26.16,26.22,9934200,25.84
11/11/2013,25.9,26.59,25.76,26.35,12233400,25.96
11/8/2013,25.58,25.95,25.5,25.94,15117900,25.56
11/7/2013,25.66,26.28,25.63,25.69,14833500,25.31
11/6/2013,25.57,25.74,25.43,25.61,12642400,25.23
11/5/2013,25.71,25.71,25.15,25.47,13095300,25.1
11/4/2013,25.94,25.94,25.49,25.77,15111900,25.39
11/1/2013,24.5,26.15,24.5,25.92,34178400,25.54
10/31/2013,24.13,24.57,24.09,24.37,13802800,24.01
10/30/2013,23.86,24.3,23.86,24.2,11615700,23.84
10/29/2013,23.96,24.1,23.64,23.84,11287000,23.49
10/28/2013,23.99,24.09,23.72,23.86,12371400,23.51
10/25/2013,24.08,24.1,23.8,24,8360500,23.65
10/24/2013,23.78,24.04,23.75,23.88,9049000,23.53
10/23/2013,23.84,23.97,23.63,23.76,9147000,23.41
10/22/2013,23.58,24.39,23.49,24.05,16356400,23.7
10/21/2013,23.52,23.78,23.45,23.55,9412700,23.2
10/18/2013,23.53,23.63,23.23,23.48,14360400,23.14
10/17/2013,23.13,23.43,22.97,23.39,9806800,23.05
10/16/2013,22.93,23.35,22.81,23.28,17397300,22.94
10/15/2013,22.86,22.96,22.61,22.79,13452500,22.46
10/14/2013,22.62,22.99,22.4,22.9,11011000,22.56
10/11/2013,22.39,23,22.25,22.8,18149900,22.47
10/10/2013,23.02,23.51,22.06,22.32,33998100,21.99
