Date,Open,High,Low,Close,Volume,Adj Close
1/30/2014,5.2,5.09,4.91,4.92,684700,4.92
1/29/2014,5.07,5.07,4.9,4.94,758200,4.94
1/28/2014,4.99,5.21,4.96,5.12,829500,5.12
1/27/2014,5.25,5.3,4.78,4.99,1909900,4.99
1/24/2014,5.45,5.45,5.14,5.25,1251100,5.25
1/23/2014,5.56,5.58,5.33,5.52,995100,5.52
1/22/2014,5.62,5.69,5.46,5.63,624800,5.63
1/21/2014,5.57,5.69,5.47,5.6,839500,5.6
1/17/2014,5.74,5.76,5.39,5.51,1404900,5.51
1/16/2014,5.51,5.74,5.4,5.7,1275400,5.7
1/15/2014,5.73,5.73,5.5,5.54,949100,5.54
1/14/2014,5.74,5.95,5.66,5.75,1105600,5.75
1/13/2014,6.16,6.17,5.4,5.54,2845200,5.54
1/10/2014,5.94,6.11,5.55,6.1,8741500,6.1
1/9/2014,4.93,5.2,4.85,5.18,2173800,5.18
1/8/2014,5.02,5.09,4.86,4.9,1670300,4.9
1/7/2014,4.82,4.9,4.65,4.85,926500,4.85
1/6/2014,4.97,5.03,4.75,4.8,924600,4.8
1/3/2014,4.95,4.97,4.6,4.92,1087800,4.92
1/2/2014,4.75,4.91,4.51,4.91,1672900,4.91
12/31/2013,4.67,4.69,4.38,4.6,2496200,4.6
12/30/2013,4.16,4.25,4.03,4.17,593200,4.17
12/27/2013,4.21,4.22,4.1,4.13,571700,4.13
12/26/2013,4.27,4.32,4.17,4.19,378200,4.19
12/24/2013,4.28,4.32,4.19,4.27,471300,4.27
12/23/2013,4.31,4.39,4.2,4.28,804800,4.28
12/20/2013,4.14,4.32,4.14,4.28,851500,4.28
12/19/2013,4.04,4.27,4.04,4.14,452600,4.14
12/18/2013,4.07,4.17,4,4.16,455900,4.16
12/17/2013,4.07,4.1,3.97,4.08,351300,4.08
12/16/2013,3.96,4.16,3.95,4.07,517000,4.07
12/13/2013,3.98,3.98,3.83,3.94,382300,3.94
12/12/2013,3.86,4.07,3.76,3.97,770800,3.97
12/11/2013,4.18,4.18,3.82,3.86,1052300,3.86
12/10/2013,4.4,4.44,4.1,4.14,942600,4.14
12/9/2013,4.54,4.6,4.27,4.4,962000,4.4
12/6/2013,4.55,4.7,4.47,4.52,629700,4.52
12/5/2013,4.71,4.71,4.41,4.49,797000,4.49
12/4/2013,4.65,4.88,4.5,4.71,2169600,4.71
12/3/2013,4.24,4.57,4.11,4.42,1796600,4.42
12/2/2013,4.32,4.32,4.11,4.23,577200,4.23
11/29/2013,4.3,4.44,4.27,4.32,343300,4.32
11/27/2013,4.36,4.42,4.08,4.27,1001900,4.27
11/26/2013,4.06,4.35,4.05,4.33,981200,4.33
11/25/2013,4.47,4.51,4,4.03,1579300,4.03
11/22/2013,4.02,4.47,4,4.45,1684700,4.45
11/21/2013,3.64,3.93,3.6,3.9,1100000,3.9
11/20/2013,3.68,3.69,3.54,3.57,363200,3.57
11/19/2013,3.57,3.66,3.51,3.65,438800,3.65
11/18/2013,3.85,3.9,3.55,3.58,896000,3.58
11/15/2013,3.62,3.84,3.61,3.79,1002900,3.79
11/14/2013,3.6,3.7,3.53,3.63,531600,3.63
11/13/2013,3.74,3.74,3.54,3.6,837400,3.6
11/12/2013,3.68,3.85,3.63,3.74,878500,3.74
11/11/2013,3.7,3.8,3.61,3.66,690000,3.66
11/8/2013,3.47,3.81,3.46,3.73,1256600,3.73
11/7/2013,3.42,3.52,3.29,3.45,1209800,3.45
11/6/2013,3.5,3.5,3.31,3.42,921800,3.42
11/5/2013,3.8,3.85,3.28,3.46,2104300,3.46
11/4/2013,3.71,3.94,3.5,3.94,1814800,3.94
11/1/2013,3.73,3.77,3.58,3.72,1022700,3.72
10/31/2013,3.9,3.93,3.42,3.79,1720000,3.79
10/30/2013,4.15,4.21,3.84,3.84,1297600,3.84
10/29/2013,4.27,4.33,4.12,4.15,593200,4.15
10/28/2013,4.43,4.43,4.12,4.27,694000,4.27
10/25/2013,4.26,4.48,4.25,4.4,920900,4.4
10/24/2013,4.54,4.6,4.19,4.21,1649900,4.21
10/23/2013,4.16,4.92,4.16,4.59,3561800,4.59
10/22/2013,4.25,4.33,3.82,4.09,3829600,4.09
10/21/2013,4.5,4.6,4.24,4.25,1721700,4.25
10/18/2013,5.13,5.19,4.4,4.47,3120000,4.47
