Date,Open,High,Low,Close,Volume,Adj Close
1/30/2014,75.96,75.97,75.95,75.96,2607300,75.96
1/29/2014,75.95,75.97,75.95,75.95,3338700,75.95
1/28/2014,75.93,75.98,75.92,75.92,1591400,75.92
1/27/2014,75.97,75.98,75.91,75.94,1812800,75.94
1/24/2014,75.98,75.98,75.95,75.96,3241300,75.96
1/23/2014,75.99,76,75.95,75.95,12205400,75.95
1/22/2014,75.98,76.03,75.97,76.02,1008800,76.02
1/21/2014,75.98,76,75.96,76,1134300,76
1/20/2014,75.96,75.96,75.96,75.96,0,75.96
1/17/2014,75.98,75.98,75.94,75.96,1949100,75.96
1/16/2014,75.95,75.96,75.92,75.96,2446000,75.96
1/15/2014,75.87,75.95,75.87,75.95,2159600,75.95
1/14/2014,75.87,75.9,75.85,75.88,1448300,75.88
1/13/2014,75.88,75.88,75.85,75.85,1556300,75.85
1/10/2014,75.86,75.89,75.86,75.86,946200,75.86
1/9/2014,75.86,75.89,75.86,75.89,1055900,75.89
1/8/2014,75.85,75.88,75.84,75.86,1385900,75.86
1/7/2014,75.85,75.87,75.84,75.85,1327300,75.85
1/6/2014,75.86,75.93,75.83,75.85,1336300,75.85
1/3/2014,75.8,75.84,75.79,75.82,1023500,75.82
1/2/2014,75.76,75.83,75.76,75.82,1632000,75.82
1/1/2014,75.8,75.8,75.8,75.8,0,75.8
12/31/2013,75.78,75.8,75.77,75.8,782600,75.8
12/30/2013,75.76,75.82,75.75,75.75,1128400,75.75
12/27/2013,75.75,75.8,75.75,75.77,782600,75.77
12/26/2013,75.8,75.82,75.75,75.76,584200,75.76
12/25/2013,75.78,75.78,75.78,75.78,0,75.78
12/24/2013,75.78,75.79,75.74,75.78,255200,75.78
12/23/2013,75.7,75.8,75.67,75.74,1472200,75.74
12/20/2013,75.67,75.69,75.64,75.65,1666700,75.65
12/19/2013,75.65,75.68,75.64,75.64,1459800,75.64
12/18/2013,75.65,75.69,75.63,75.64,1912000,75.64
12/17/2013,75.7,75.7,75.63,75.65,1003100,75.65
12/16/2013,75.66,75.73,75.61,75.62,968600,75.62
12/13/2013,75.63,75.68,75.62,75.64,1364900,75.64
12/12/2013,75.65,75.69,75.6,75.62,1458500,75.62
12/11/2013,75.62,75.65,75.6,75.62,1417600,75.62
12/10/2013,75.63,75.65,75.59,75.61,1511600,75.61
12/9/2013,75.67,75.69,75.61,75.64,1272800,75.64
12/6/2013,75.62,75.69,75.61,75.69,1470200,75.69
12/5/2013,75.69,75.7,75.6,75.62,2015700,75.62
12/4/2013,75.64,75.71,75.64,75.65,2363500,75.65
12/3/2013,75.7,75.74,75.59,75.6,1434000,75.6
12/2/2013,75.67,75.75,75.62,75.71,1088500,75.71
11/29/2013,75.72,75.74,75.69,75.7,398600,75.7
11/28/2013,75.73,75.73,75.73,75.73,0,75.73
11/27/2013,75.75,75.75,75.7,75.73,722000,75.73
11/26/2013,75.72,75.76,75.68,75.75,1037000,75.75
11/25/2013,75.72,75.72,75.61,75.69,1330600,75.69
11/22/2013,75.64,75.68,75.6,75.68,729700,75.68
11/21/2013,75.63,75.66,75.55,75.63,985900,75.63
11/20/2013,75.54,75.63,75.54,75.63,1075500,75.63
11/19/2013,75.51,75.65,75.5,75.61,790500,75.61
11/18/2013,75.49,75.56,75.48,75.55,897400,75.55
11/15/2013,75.46,75.6,75.24,75.49,1543000,75.49
11/14/2013,75.58,75.6,75.51,75.57,698400,75.57
11/13/2013,75.47,75.6,75.46,75.6,745700,75.6
11/12/2013,75.46,75.53,75.43,75.53,824400,75.53
11/11/2013,75.51,75.62,75.46,75.5,616800,75.5
11/8/2013,75.45,75.75,75.43,75.59,1409900,75.59
11/7/2013,75.53,75.56,75.43,75.51,863400,75.51
11/6/2013,75.38,75.52,75.38,75.49,664400,75.49
11/5/2013,75.35,75.44,75.35,75.39,967400,75.39
11/4/2013,75.32,75.42,75.31,75.4,658100,75.4
11/1/2013,75.28,75.38,75.26,75.37,863800,75.37
10/31/2013,75.24,75.31,75.21,75.29,887300,75.29
10/30/2013,75.29,75.31,75.19,75.31,1023800,75.31
10/29/2013,75.27,75.31,75.22,75.28,822200,75.28
10/28/2013,75.27,75.27,75.17,75.2,762800,75.2
10/25/2013,75.22,75.23,75.16,75.23,782400,75.23
10/24/2013,75.16,75.31,75.14,75.22,794600,75.22
10/23/2013,75.12,75.22,75.08,75.2,1008300,75.2
10/22/2013,75.12,75.17,75.09,75.15,1039400,75.15
10/21/2013,75.16,75.16,75.07,75.08,987100,75.08
10/18/2013,75.13,75.19,75.07,75.15,1119500,75.15
10/17/2013,75.04,75.2,75.04,75.19,1089100,75.19
10/16/2013,75.02,75.09,75,75.08,1695500,75.08
10/15/2013,74.94,75.04,74.91,75,1228700,75
10/14/2013,74.95,75.05,74.82,75.03,1318600,75.03
10/11/2013,75.06,75.06,74.95,74.96,1116900,74.96
10/10/2013,74.93,75.08,74.9,75.05,1643900,75.05
10/9/2013,74.84,74.95,74.65,74.94,1727800,74.94
10/8/2013,74.99,75,74.72,74.72,2368700,74.72
10/7/2013,74.94,75.02,74.89,74.97,1937300,74.97
10/4/2013,74.87,75.1,74.87,75.08,1669700,75.08
10/3/2013,75,75,74.84,74.84,2084600,74.84
10/2/2013,74.84,74.9,74.84,74.86,1447300,74.86
10/1/2013,74.91,74.91,74.84,74.87,1432900,74.87
9/30/2013,74.89,74.91,74.81,74.83,2033100,74.83
9/27/2013,74.89,74.92,74.88,74.91,807200,74.91
9/26/2013,74.9,74.96,74.88,74.96,1171900,74.96
9/25/2013,74.92,74.92,74.86,74.88,1543100,74.88
9/24/2013,74.81,74.93,74.81,74.88,1221400,74.88
9/23/2013,74.89,74.95,74.82,74.85,806200,74.85
9/20/2013,74.85,75.08,74.82,74.91,2518300,74.91
9/19/2013,74.85,74.87,74.78,74.87,2426900,74.87
9/18/2013,74.67,74.85,74.67,74.82,1570100,74.82
9/17/2013,74.76,74.81,74.71,74.79,991700,74.79
9/16/2013,74.75,74.78,74.73,74.74,861700,74.74
9/13/2013,74.72,74.75,74.7,74.74,1085500,74.74
9/12/2013,74.73,74.78,74.69,74.75,1794000,74.75
9/11/2013,74.7,74.79,74.68,74.79,1076900,74.79
9/10/2013,74.8,74.83,74.7,74.75,807800,74.75
9/9/2013,74.67,74.79,74.67,74.74,1021700,74.74
9/6/2013,74.67,74.69,74.49,74.67,1151400,74.67
9/5/2013,74.65,74.67,74.56,74.65,930200,74.65
9/4/2013,74.51,74.64,74.51,74.62,2209100,74.62
9/3/2013,74.46,74.6,74.41,74.58,1998700,74.58
9/2/2013,74.41,74.41,74.41,74.41,0,74.41
8/30/2013,74.49,74.6,74.37,74.41,1534000,74.41
8/29/2013,74.3,74.55,74.26,74.49,1283700,74.49
8/28/2013,74.42,74.45,74.26,74.26,1762500,74.26
