Date,Open,High,Low,Close,Volume,Adj Close
1/30/2014,56.65,57.31,56.54,57.01,4705800,56.48
1/29/2014,56.76,57.09,56.13,56.36,5511600,55.84
1/28/2014,57,57.57,57,57.09,4043300,56.56
1/27/2014,57.3,57.63,56.86,56.96,4194300,56.43
1/24/2014,58.4,58.5,57.16,57.16,5682400,56.63
1/23/2014,59.05,59.22,58.54,58.71,4396000,58.16
1/22/2014,59.5,59.53,58.66,59.15,4085200,58.6
1/21/2014,59.65,59.89,59.03,59.37,4484200,58.82
1/17/2014,59.11,59.59,58.89,59.51,6485100,58.96
1/16/2014,59.38,59.56,58.98,59.11,4321400,58.56
1/15/2014,59.6,59.8,59.18,59.33,4785100,58.78
1/14/2014,59.5,59.55,58.88,59.41,4546500,58.86
1/13/2014,59.78,59.98,59.18,59.25,4264000,58.7
1/10/2014,59.67,60.25,59.29,59.95,6548700,59.39
1/9/2014,58,59.74,57.92,59.36,8127900,58.81
1/8/2014,59.86,60.93,59.74,60.84,6725000,60.27
1/7/2014,59.78,60.13,59.53,59.84,6510600,59.28
1/6/2014,59.15,59.77,58.9,59.22,10538100,58.67
1/3/2014,58.2,58.5,57.71,58.34,12577400,57.8
1/2/2014,57.21,57.46,57.04,57.24,4219000,56.71
12/31/2013,57.26,57.49,57.17,57.39,3299700,56.86
12/30/2013,57.47,57.57,57.29,57.37,1882600,56.56
12/27/2013,57.57,57.69,57.26,57.4,1834800,56.59
12/26/2013,57.5,57.5,57.28,57.47,1887300,56.66
12/24/2013,57.41,57.47,57.13,57.37,1249400,56.56
12/23/2013,57.3,57.44,57,57.4,3618800,56.59
12/20/2013,57.13,57.19,56.85,56.89,6769400,56.09
12/19/2013,57.43,57.6,57.09,57.17,4110000,56.36
12/18/2013,56.81,57.77,56.19,57.76,4786000,56.94
12/17/2013,57.31,57.38,56.05,56.59,4638100,55.79
12/16/2013,56.24,56.62,56.13,56.34,3156400,55.54
12/13/2013,55.92,56.18,55.56,55.89,2536100,55.1
12/12/2013,56.11,56.18,55.61,55.65,3496800,54.86
12/11/2013,57.39,57.43,56.2,56.26,4009900,55.46
12/10/2013,57.4,57.65,57.25,57.38,2740300,56.57
12/9/2013,58.17,58.2,57.6,57.87,3579300,57.05
12/6/2013,57.53,58.18,57.49,58.14,3318200,57.32
12/5/2013,56.95,57.07,56.66,56.91,4352800,56.11
12/4/2013,57.27,58.02,56.66,56.93,4469300,56.12
12/3/2013,57.37,57.7,57.08,57.64,4652900,56.82
12/2/2013,57.32,57.99,57.15,57.53,3952100,56.72
11/29/2013,57.49,57.52,57.14,57.32,2247200,56.51
11/27/2013,57.37,57.64,57.14,57.45,2239600,56.64
11/26/2013,57.35,57.49,56.91,57.36,3548500,56.55
11/25/2013,57.75,57.97,57.14,57.28,2647200,56.47
11/22/2013,57.19,57.64,56.83,57.6,3742200,56.79
11/21/2013,57.38,57.46,57.05,57.1,3776300,56.29
11/20/2013,58.04,58.08,56.52,56.89,5823900,56.09
11/19/2013,57.85,58.47,57.3,57.94,4986800,57.12
11/18/2013,58.43,58.62,58.08,58.31,3653000,57.49
11/15/2013,58.75,58.83,58.1,58.55,5443600,57.72
11/14/2013,58.34,58.85,58,58.84,3611100,58.01
11/13/2013,57.64,58.2,57.3,58.19,3398200,57.37
11/12/2013,57.99,58.02,57.55,57.89,2612300,57.07
11/11/2013,58.2,58.34,57.97,58.09,2849100,57.27
11/8/2013,57.3,58.04,57.13,58.03,3357500,57.21
11/7/2013,57.56,57.81,57.26,57.3,4102500,56.49
11/6/2013,57.62,58.09,57.35,57.47,4427800,56.66
11/5/2013,56.8,57.23,56.76,57.1,4104300,56.29
11/4/2013,56.45,57.47,56.45,57.27,8695700,56.46
11/1/2013,57.55,57.76,56.96,57.26,4723800,56.45
10/31/2013,58,58.09,57.38,57.4,6619000,56.59
10/30/2013,58.64,58.82,57.68,57.94,4035400,57.12
10/29/2013,57.82,58.58,57.63,58.5,5742400,57.67
10/28/2013,57.33,57.96,57.31,57.65,3738700,56.83
10/25/2013,57.62,57.78,57.01,57.36,2817600,56.55
10/24/2013,57.55,57.69,57.01,57.5,4375500,56.69
10/23/2013,56.97,57.88,56.9,57.65,4954100,56.83
10/22/2013,56.57,56.82,56.42,56.73,3183100,55.93
10/21/2013,56.43,56.53,56.01,56.49,3657800,55.69
10/18/2013,56.48,56.7,56.14,56.59,4941000,55.79
10/17/2013,55.41,56.37,55.26,56.32,3477800,55.52
10/16/2013,54.68,55.48,54.67,55.48,3352500,54.7
10/15/2013,55.04,55.37,54.52,54.58,3086100,53.81
10/14/2013,54.76,55.34,54.66,55.19,3452200,54.41
10/11/2013,54.03,55.04,54.02,54.99,4230100,54.21
10/10/2013,53.47,54.27,53.39,54.27,3543400,53.5
10/9/2013,52.56,53.28,52.53,53.06,4238200,52.31
10/8/2013,52.77,53.32,52.44,52.46,5094000,51.72
10/7/2013,52.96,52.98,52.63,52.72,2631300,51.97
10/4/2013,52.99,53.4,52.73,53.35,2228900,52.6
10/3/2013,53.33,53.4,52.62,53.04,3178000,52.29
10/2/2013,53.07,53.53,52.98,53.52,3440300,52.76
10/1/2013,53.34,53.58,53.05,53.52,2987300,52.49
9/30/2013,52.82,53.88,52.6,53.25,5588300,52.22
9/27/2013,52.78,53.11,52.64,53,2920300,51.98
9/26/2013,52.74,53.13,52.71,52.94,2067300,51.92
9/25/2013,53.46,53.48,52.76,52.81,3631200,51.79
9/24/2013,53.85,53.87,53.41,53.43,2919000,52.4
9/23/2013,53.72,53.89,53.52,53.76,2611200,52.72
9/20/2013,54.25,54.3,53.65,53.71,6328700,52.67
9/19/2013,54.14,54.15,53.8,54,2778200,52.96
9/18/2013,53.91,54.24,53.29,54.08,4809900,53.04
9/17/2013,54.04,54.21,53.8,53.94,2522100,52.9
9/16/2013,54.04,54.23,53.79,54.06,2515700,53.02
9/13/2013,53.71,53.8,53.44,53.58,2256400,52.55
9/12/2013,54.07,54.21,53.51,53.58,3907100,52.55
9/11/2013,54,54.25,53.96,54.09,3191600,53.05
9/10/2013,54.09,54.26,53.78,53.96,2956700,52.92
9/9/2013,53.48,53.99,53.45,53.92,3662700,52.88
9/6/2013,53.66,53.88,52.88,53.46,4443300,52.43
9/5/2013,53.22,53.74,53.22,53.66,4618100,52.62
9/4/2013,53.38,53.49,52.86,53.2,11290000,52.17
9/3/2013,52.25,52.58,51.78,52.09,5625300,51.08
8/30/2013,51.97,51.97,51.53,51.75,5442900,50.75
8/29/2013,51.47,52.35,51.22,51.83,4865700,50.83
8/28/2013,51.48,51.8,51.47,51.56,4532200,50.56
8/27/2013,51.89,52.11,51.47,51.51,5667000,50.52
8/26/2013,52.77,53,52.35,52.37,4871300,51.36
8/23/2013,53.34,53.72,52.62,52.74,5979800,51.72
8/22/2013,52.76,53.53,52.7,53.36,3485100,52.33
