Date,Open,High,Low,Close,Volume,Adj Close
1/30/2014,64.73,65.2,64.55,64.91,1178200,64.31
1/29/2014,63.99,64.64,63.77,63.98,1474300,63.39
1/28/2014,64.44,64.73,64.11,64.34,1431500,63.74
1/27/2014,64.54,64.88,64.13,64.43,987800,63.83
1/24/2014,65.16,65.16,64.42,64.42,1698800,63.82
1/23/2014,64.68,65.42,64.56,65.34,2821300,64.74
1/22/2014,63.84,65.67,62.68,64.51,4388000,63.91
1/21/2014,66.89,67.69,66.77,67.11,2300600,66.49
1/17/2014,66.17,66.67,65.91,66.1,1907000,65.49
1/16/2014,65.7,65.98,65.53,65.81,1012100,65.2
1/15/2014,66.39,66.48,65.54,65.62,1992000,65.01
1/14/2014,65.82,66.44,65.76,66.35,836400,65.74
1/13/2014,66.16,66.74,65.32,65.49,1224100,64.88
1/10/2014,66.68,66.69,65.89,66.15,2491200,65.54
1/9/2014,66.16,66.66,66.08,66.5,954600,65.88
1/8/2014,66.24,66.34,65.8,65.99,900700,65.38
1/7/2014,65.92,66.48,65.74,66.19,1010300,65.58
1/6/2014,66.47,66.67,65.91,65.92,1033000,65.31
1/3/2014,66.49,66.64,66.16,66.2,801600,65.59
1/2/2014,67.37,67.49,65.84,66.33,1101600,65.72
12/31/2013,67.18,67.64,67.15,67.5,647800,66.88
12/30/2013,67.11,67.67,67.11,67.25,590900,66.63
12/27/2013,67.12,67.61,67.03,67.33,599800,66.71
12/26/2013,67.09,67.49,66.94,67.18,861100,66.56
12/24/2013,66.53,67.28,66.5,67.1,538500,66.48
12/23/2013,66,66.88,65.66,66.78,1744500,66.16
12/20/2013,65.65,66.08,65.59,65.61,3196500,65
12/19/2013,66.06,66.35,65.82,65.85,2152300,65.24
12/18/2013,65.44,66.17,64.99,66.16,1015300,65.55
12/17/2013,65.09,65.79,64.84,65.52,1175100,64.91
12/16/2013,65.05,65.5,64.84,65.36,1154900,64.76
12/13/2013,64.85,65.23,64.61,65.05,1233600,64.45
12/12/2013,64.4,65.1,64.21,64.86,1334700,64.26
12/11/2013,64.83,65.42,64.55,64.6,1150900,64
12/10/2013,65.51,66.09,65.13,65.41,1431100,64.5
12/9/2013,66.02,66.26,65.65,65.79,923100,64.87
12/6/2013,65.59,66.33,65.41,66.18,1131900,65.26
12/5/2013,64.75,65.57,64.7,65.23,1084800,64.32
12/4/2013,65.37,65.7,64.63,64.93,1357400,64.02
12/3/2013,65.38,65.84,65,65.79,927600,64.87
12/2/2013,65.75,66.13,65.43,65.66,928600,64.74
11/29/2013,65.59,66.29,65.33,65.88,764600,64.96
11/27/2013,65.65,65.96,65.34,65.5,1204600,64.59
11/26/2013,65.85,65.99,65.22,65.57,1914700,64.66
11/25/2013,65.83,66.14,65.6,65.79,721200,64.87
11/22/2013,65.39,65.95,65.16,65.88,743900,64.96
11/21/2013,64.85,65.46,64.69,65.41,1468500,64.5
11/20/2013,64.79,65.07,64.51,64.58,1300300,63.68
11/19/2013,65.3,65.5,64.55,64.61,1120000,63.71
11/18/2013,65.49,65.79,65.19,65.42,1208600,64.51
11/15/2013,64.81,65.79,64.73,65.57,1500800,64.66
11/14/2013,64.41,64.97,64.27,64.58,1086500,63.68
11/13/2013,64,64.48,63.8,64.45,1213200,63.55
11/12/2013,63.51,64.25,63.42,64.24,1192000,63.34
11/11/2013,63,63.69,62.94,63.51,1031900,62.62
11/8/2013,62.6,63.17,62.6,63.12,1172000,62.24
11/7/2013,62.85,63.42,62.44,62.49,1602100,61.62
11/6/2013,62.89,63.2,62.61,62.65,1144500,61.78
11/5/2013,62.58,63,62.52,62.68,807400,61.81
11/4/2013,62.4,62.88,62.4,62.71,1125300,61.84
11/1/2013,62.68,62.85,61.99,62.39,1199100,61.52
10/31/2013,62.31,62.98,62.08,62.52,1167700,61.65
10/30/2013,62.69,62.79,61.95,62.25,1121200,61.38
10/29/2013,62.79,63.06,62.52,62.73,930000,61.86
10/28/2013,63,63.11,62.33,62.44,1261600,61.57
10/25/2013,62.65,63.06,62.42,62.99,1523800,62.11
10/24/2013,62.3,62.8,62.08,62.51,1802000,61.64
10/23/2013,61.68,66.39,60.68,62.4,8847300,61.53
10/22/2013,61,61.19,60.21,60.43,3228100,59.59
10/21/2013,60.88,61.2,60.82,61.18,1885700,60.33
10/18/2013,60.99,61.09,60.65,60.81,2562300,59.96
10/17/2013,60.4,60.97,60.25,60.92,1988900,60.07
10/16/2013,60.73,61,60.43,60.71,2014900,59.86
10/15/2013,60.71,61,60.46,60.49,1677900,59.65
10/14/2013,60.26,61.13,59.95,61.03,1405400,60.18
10/11/2013,60.38,60.84,60.31,60.52,1046200,59.68
10/10/2013,59.95,60.61,59.85,60.61,1133300,59.76
10/9/2013,59.82,59.89,58.93,59.39,1362400,58.56
10/8/2013,60.87,60.91,59.57,59.62,1569900,58.79
10/7/2013,60.66,61.57,60.53,60.89,1531300,60.04
10/4/2013,60.37,61.24,60.16,61.14,1978700,60.29
10/3/2013,60.48,60.79,60.34,60.56,1954300,59.72
10/2/2013,60.52,60.72,60.15,60.7,2405500,59.85
10/1/2013,59.42,60.89,59.24,60.89,2788000,60.04
9/30/2013,59.29,59.61,59.15,59.38,1420600,58.55
9/27/2013,59.74,59.92,59.55,59.75,838700,58.92
9/26/2013,59.87,60.1,59.71,59.87,990700,59.04
9/25/2013,59.8,60.12,59.53,59.85,1617800,59.02
9/24/2013,60.23,60.23,59.92,59.99,2714000,59.15
9/23/2013,60.16,60.39,60.05,60.37,1655200,59.53
9/20/2013,59.93,60.77,59.88,60.39,8420000,59.55
9/19/2013,59.22,59.92,59.2,59.69,2588000,58.86
9/18/2013,58.25,59.38,58.1,59.26,2663700,58.43
9/17/2013,57.76,58.29,57.76,58.28,1547200,57.47
9/16/2013,58.06,58.16,57.77,57.81,2050300,57
9/13/2013,57.44,57.53,57.15,57.46,1042300,56.66
9/12/2013,57.35,58,57.29,57.5,2043800,56.7
9/11/2013,56.99,57.32,56.64,57.25,1096500,56.45
9/10/2013,57.76,58,57.14,57.37,1794000,56.26
9/9/2013,56.63,58,56.63,57.59,2370800,56.48
9/6/2013,56.17,56.81,55.8,56.47,1894600,55.38
9/5/2013,55.93,56.59,55.93,56.17,1457900,55.09
9/4/2013,56.22,56.38,55.96,56.08,2384900,55
9/3/2013,56.38,57,56.04,56.28,1749400,55.2
8/30/2013,56.16,56.21,55.85,56.01,1408800,54.93
8/29/2013,56.26,56.43,55.97,56.19,1372400,55.11
8/28/2013,56.12,56.6,56.12,56.39,1308900,55.3
8/27/2013,56.03,56.35,55.7,56.12,1720600,55.04
8/26/2013,56.59,57.06,56.53,56.55,1001500,55.46
8/23/2013,56.49,56.84,56.31,56.74,1100300,55.65
8/22/2013,56.05,56.45,55.94,56.33,1435500,55.24
8/21/2013,56.86,57,55.78,56.06,3258900,54.98
8/20/2013,56.96,57.14,56.85,57.05,1913300,55.95
8/19/2013,56.97,57.52,56.94,57.09,1518600,55.99
8/16/2013,57.31,57.46,56.9,57.15,2011800,56.05
8/15/2013,57.1,57.1,56.52,56.96,3299600,55.86
8/14/2013,57.68,57.96,57.62,57.71,1392900,56.6
8/13/2013,57.39,57.94,57.32,57.84,1406500,56.73
8/12/2013,57.05,57.56,56.8,57.44,1898100,56.33
8/9/2013,56.84,57.54,56.84,57.36,1534500,56.25
8/8/2013,56.6,57.16,56.26,57.13,1721100,56.03
8/7/2013,56.19,56.52,56.05,56.48,1679100,55.39
8/6/2013,55.92,56.52,55.84,56.4,1656500,55.31
8/5/2013,55.8,56.12,55.64,56.1,1190600,55.02
8/2/2013,55.32,56.13,55.15,56.02,1742500,54.94
8/1/2013,55.07,55.4,54.92,55.32,1417200,54.25
7/31/2013,54.56,55.26,54.13,54.83,2434000,53.77
7/30/2013,54.23,54.63,53.9,54.35,2568400,53.3
7/29/2013,54.02,54.46,53.74,54.01,2143500,52.97
7/26/2013,53.92,54.34,53.62,54.26,3245000,53.21
7/25/2013,55.95,55.98,54.19,54.25,5029600,53.2
7/24/2013,56.41,56.88,53.88,56.04,7396700,54.96
7/23/2013,59.75,60.69,59.75,59.98,2138100,58.82
7/22/2013,59.73,59.95,59.42,59.87,2566900,58.72
7/19/2013,59.46,60.08,59.24,59.85,2248800,58.7
