Date,Open,High,Low,Close,Volume,Adj Close
1/30/2014,17.31,17.85,17.12,17.12,758800,17.12
1/29/2014,17.52,17.61,17.06,17.2,693000,17.2
1/28/2014,17.43,18.06,17.33,17.81,606000,17.81
1/27/2014,18.1,18.1,16.85,17.36,817400,17.36
1/24/2014,19,19.15,17.8,18.1,915200,18.1
1/23/2014,18.86,19.31,18.37,19.15,927300,19.15
1/22/2014,19.31,19.49,18.74,19,973900,19
1/21/2014,19.84,19.87,18.93,19.36,905900,19.36
1/17/2014,19.53,20.29,19.52,19.65,878000,19.65
1/16/2014,19.15,19.68,19.04,19.59,784100,19.59
1/15/2014,19.4,19.68,18.85,19.16,810300,19.16
1/14/2014,18.75,19.4,18.66,19.39,860300,19.39
1/13/2014,18.99,19.34,18.4,18.65,1568600,18.65
1/10/2014,18.31,19.21,18.28,19.15,2504900,19.15
1/9/2014,17.99,18.75,17.69,18.29,1757900,18.29
1/8/2014,17.99,18.17,17.11,18.08,4214700,18.08
1/7/2014,15.7,18.62,15.2,18.51,18966300,18.51
1/6/2014,9.72,9.92,9.68,9.76,1755800,9.76
1/3/2014,9.63,9.8,9.6,9.65,448200,9.65
1/2/2014,9.27,9.59,9.19,9.55,410600,9.55
12/31/2013,9.41,9.44,9.21,9.34,825600,9.34
12/30/2013,9.36,9.5,9.18,9.43,442600,9.43
12/27/2013,9.4,9.41,9.15,9.33,246800,9.33
12/26/2013,9.64,9.64,9.31,9.41,341800,9.41
12/24/2013,9.67,9.72,9.45,9.63,211100,9.63
12/23/2013,9.83,9.93,9.41,9.64,752300,9.64
12/20/2013,9.13,9.74,9.08,9.67,1972600,9.67
12/19/2013,9.55,9.57,8.99,9.12,1009000,9.12
12/18/2013,9.11,9.26,8.87,9.22,436400,9.22
12/17/2013,9.36,9.36,8.99,9.09,395000,9.09
12/16/2013,9.31,9.46,9.13,9.39,281900,9.39
12/13/2013,9.53,9.53,9.16,9.28,296200,9.28
12/12/2013,9.38,9.66,9.35,9.51,377800,9.51
12/11/2013,9.61,9.67,9.32,9.39,436000,9.39
12/10/2013,9.71,9.81,9.45,9.56,452000,9.56
12/9/2013,9.78,9.78,9.56,9.78,421700,9.78
12/6/2013,9.71,9.95,9.5,9.76,471700,9.76
12/5/2013,9.75,9.96,9.48,9.58,483100,9.58
12/4/2013,9.78,9.88,9.61,9.77,395300,9.77
12/3/2013,9.92,10.06,9.67,9.84,982100,9.84
12/2/2013,9.91,10.05,9.85,9.91,649600,9.91
11/29/2013,9.75,9.94,9.66,9.82,180200,9.82
11/27/2013,9.55,9.68,9.35,9.66,349000,9.66
11/26/2013,9.27,9.56,9.24,9.5,352100,9.5
11/25/2013,9.03,9.33,9.03,9.22,339000,9.22
11/22/2013,8.71,9.04,8.71,8.93,499000,8.93
11/21/2013,8.74,8.8,8.63,8.69,518700,8.69
11/20/2013,8.75,8.89,8.66,8.71,295200,8.71
11/19/2013,8.7,8.83,8.64,8.74,457000,8.74
11/18/2013,8.85,8.92,8.62,8.68,384100,8.68
11/15/2013,8.79,8.92,8.76,8.85,485400,8.85
11/14/2013,8.91,9,8.75,8.8,540400,8.8
11/13/2013,8.87,9.02,8.79,8.87,655700,8.87
11/12/2013,9.15,9.18,8.8,8.93,502200,8.93
11/11/2013,8.99,9.22,8.87,9.16,548400,9.16
11/8/2013,8.68,9.13,8.68,8.98,592200,8.98
11/7/2013,8.77,9.05,8.64,8.68,577000,8.68
11/6/2013,9.14,9.27,8.57,8.76,1489100,8.76
11/5/2013,9.3,9.3,8.96,9.05,759000,9.05
11/4/2013,9.15,9.44,9.15,9.31,658700,9.31
11/1/2013,9.44,9.45,9.14,9.28,718100,9.28
