Date,Open,High,Low,Close,Volume,Adj Close
1/30/2014,7.04,7.09,6.97,7.03,25205000,6.6
1/29/2014,7.03,7.15,6.98,7.04,28901400,6.61
1/28/2014,6.98,7.02,6.94,7,17884600,6.57
1/27/2014,6.97,7.05,6.81,6.93,27901600,6.5
1/24/2014,7.06,7.09,6.84,6.86,32988800,6.44
1/23/2014,7.24,7.25,6.88,7.03,89521800,6.6
1/22/2014,7.86,7.88,7.63,7.7,25650200,7.23
1/21/2014,7.86,7.87,7.73,7.8,11314700,7.32
1/17/2014,7.87,7.93,7.77,7.79,19365000,7.31
1/16/2014,7.96,8.01,7.87,7.94,13918100,7.45
1/15/2014,7.98,8.02,7.95,7.99,8815000,7.5
1/14/2014,7.93,7.97,7.84,7.94,21024500,7.45
1/13/2014,8.09,8.15,7.94,7.98,21307400,7.49
1/10/2014,8.17,8.2,8.1,8.18,17553700,7.68
1/9/2014,8.14,8.18,8.01,8.05,24297200,7.56
1/8/2014,7.99,8.11,7.97,8.11,18155900,7.61
1/7/2014,7.97,8.07,7.93,8.04,27057800,7.55
1/6/2014,8.04,8.06,7.98,8.02,13805200,7.53
1/3/2014,8.03,8.06,7.95,8.03,17994900,7.54
1/2/2014,8.03,8.04,7.93,7.94,22659500,7.45
12/31/2013,8.02,8.18,8.01,8.11,13766100,7.61
12/30/2013,7.99,8.04,7.95,7.99,12948300,7.5
12/27/2013,7.98,8.08,7.97,8.06,15538000,7.57
12/26/2013,7.83,7.93,7.82,7.89,10851600,7.41
12/24/2013,7.78,7.83,7.73,7.83,5888800,7.35
12/23/2013,7.79,7.86,7.76,7.79,12845200,7.31
12/20/2013,7.74,7.88,7.73,7.81,27267500,7.33
12/19/2013,7.59,7.75,7.58,7.73,20076000,7.26
12/18/2013,7.6,7.71,7.48,7.71,43599100,7.24
12/17/2013,7.37,7.45,7.31,7.36,33393600,6.91
12/16/2013,7.52,7.58,7.42,7.46,21653400,7
12/13/2013,7.63,7.65,7.52,7.54,23395200,7.08
12/12/2013,7.78,7.85,7.63,7.71,19984600,7.24
12/11/2013,7.95,7.97,7.71,7.73,32143300,7.26
12/10/2013,7.88,7.95,7.84,7.92,18064300,7.43
12/9/2013,8.08,8.12,7.96,8,32243800,7.51
12/6/2013,7.83,7.97,7.83,7.88,26855600,7.4
12/5/2013,7.9,7.92,7.73,7.73,17442300,7.26
12/4/2013,7.71,7.92,7.69,7.9,20000500,7.42
12/3/2013,7.74,7.82,7.69,7.81,23834200,7.33
12/2/2013,8,8.03,7.94,7.97,14131800,7.48
11/29/2013,8.1,8.13,8.04,8.06,9747000,7.57
11/27/2013,8.03,8.08,7.96,8.01,14754300,7.52
11/26/2013,8.08,8.1,7.92,7.93,25631300,7.44
11/25/2013,8.04,8.11,8,8.1,28124900,7.6
11/22/2013,8.01,8.18,7.96,8.09,37373300,7.59
11/21/2013,7.99,7.99,7.9,7.95,26569100,7.46
11/20/2013,8,8.02,7.76,7.94,27380000,7.45
11/19/2013,7.98,8.03,7.75,7.8,24479000,7.32
11/18/2013,8.09,8.13,8.01,8.06,31772200,7.57
11/15/2013,7.98,8.01,7.89,8,26906200,7.51
