Date,Open,High,Low,Close,Volume,Adj Close
1/30/2014,2.28,2.33,2.28,2.29,1036700,2.29
1/29/2014,2.27,2.32,2.26,2.26,1028600,2.26
1/28/2014,2.28,2.41,2.25,2.27,1969500,2.27
1/27/2014,2.41,2.42,2.22,2.3,2398900,2.3
1/24/2014,2.38,2.44,2.34,2.39,1682300,2.39
1/23/2014,2.46,2.46,2.38,2.41,2428100,2.41
1/22/2014,2.59,2.61,2.45,2.5,2691000,2.5
1/21/2014,2.63,2.63,2.57,2.6,1601500,2.6
1/17/2014,2.68,2.7,2.57,2.6,1955600,2.6
1/16/2014,2.76,2.8,2.66,2.72,2174400,2.72
1/15/2014,2.61,2.78,2.56,2.74,3002100,2.74
1/14/2014,2.54,2.64,2.53,2.58,1874500,2.58
1/13/2014,2.65,2.7,2.51,2.56,2548800,2.56
1/10/2014,2.62,2.66,2.51,2.6,3213000,2.6
1/9/2014,2.7,2.76,2.58,2.64,7851900,2.64
1/8/2014,2.42,2.48,2.4,2.46,1239000,2.46
1/7/2014,2.36,2.44,2.35,2.43,986600,2.43
1/6/2014,2.43,2.45,2.37,2.38,1275200,2.38
1/3/2014,2.35,2.45,2.31,2.43,1366200,2.43
1/2/2014,2.32,2.38,2.25,2.33,1463800,2.33
12/31/2013,2.28,2.34,2.24,2.34,2078000,2.34
12/30/2013,2.33,2.37,2.25,2.27,2539900,2.27
12/27/2013,2.29,2.31,2.2,2.3,1567500,2.3
12/26/2013,2.26,2.34,2.26,2.29,1084200,2.29
12/24/2013,2.26,2.3,2.24,2.26,716200,2.26
12/23/2013,2.21,2.28,2.17,2.27,2121400,2.27
12/20/2013,2.17,2.31,2.14,2.22,2751600,2.22
12/19/2013,2.12,2.18,2.12,2.15,1235100,2.15
12/18/2013,2.09,2.16,2.07,2.15,1353300,2.15
12/17/2013,2.11,2.18,2.08,2.09,1597000,2.09
12/16/2013,2.12,2.2,2.07,2.11,1604400,2.11
12/13/2013,2.07,2.15,2.04,2.13,1301300,2.13
12/12/2013,2.06,2.17,1.95,2.02,3271700,2.02
12/11/2013,2.33,2.33,2.08,2.12,4140900,2.12
12/10/2013,2.43,2.44,2.28,2.34,2513900,2.34
12/9/2013,2.51,2.54,2.43,2.44,1313300,2.44
12/6/2013,2.54,2.57,2.45,2.5,1034900,2.5
12/5/2013,2.56,2.57,2.48,2.48,729500,2.48
12/4/2013,2.48,2.59,2.46,2.56,1986100,2.56
12/3/2013,2.53,2.59,2.45,2.45,1382800,2.45
12/2/2013,2.61,2.62,2.52,2.55,1293800,2.55
11/29/2013,2.64,2.69,2.61,2.63,789400,2.63
11/27/2013,2.58,2.64,2.56,2.61,1207000,2.61
11/26/2013,2.62,2.66,2.58,2.6,1791400,2.6
11/25/2013,2.8,2.8,2.6,2.63,2549600,2.63
11/22/2013,2.78,2.86,2.69,2.77,2678300,2.77
11/21/2013,2.71,2.78,2.68,2.76,1909700,2.76
11/20/2013,2.68,2.79,2.66,2.71,2698000,2.71
11/19/2013,2.58,2.69,2.58,2.67,1689100,2.67
11/18/2013,2.55,2.68,2.51,2.59,3101400,2.59
11/15/2013,2.31,2.51,2.31,2.48,3029400,2.48
11/14/2013,2.3,2.34,2.27,2.32,1845200,2.32
11/13/2013,2.32,2.48,2.26,2.32,4668700,2.32
11/12/2013,2.11,2.36,2.08,2.29,4486200,2.29
11/11/2013,2.13,2.16,2.09,2.1,2805000,2.1
11/8/2013,2.11,2.19,2.04,2.11,8441800,2.11
11/7/2013,1.69,1.74,1.66,1.7,2337100,1.7
11/6/2013,1.85,1.85,1.65,1.66,4557500,1.66
11/5/2013,1.92,1.92,1.82,1.84,2757700,1.84
11/4/2013,1.92,1.94,1.88,1.92,2959100,1.92
11/1/2013,2.01,2.05,1.86,1.9,3874700,1.9
10/31/2013,2.47,2.47,1.7,1.92,15130100,1.92
10/30/2013,2.5,2.52,2.4,2.48,1081600,2.48
10/29/2013,2.5,2.57,2.46,2.48,1396100,2.48
10/28/2013,2.35,2.58,2.35,2.49,2974100,2.49
