Date,Open,High,Low,Close,Volume,Adj Close
1/30/2014,61.65,61.99,61.18,61.25,4060600,60.76
1/29/2014,61.44,61.9,60.7,60.99,1820800,60.5
1/28/2014,61.41,62.3,61.41,61.88,2549100,61.39
1/27/2014,62.77,62.77,61.13,61.35,2779000,60.86
1/24/2014,63.47,64.07,62.1,62.11,2714000,61.62
1/23/2014,64.25,64.59,63.44,63.79,3306900,63.28
1/22/2014,66,66.1,63.85,64.98,4402500,64.46
1/21/2014,66.16,66.65,65.68,65.96,3623200,65.44
1/17/2014,67.01,67.1,65.85,65.9,2540800,65.38
1/16/2014,65.93,67.18,65.93,66.8,2028600,66.27
1/15/2014,66.15,66.46,65.85,65.9,3448100,65.38
1/14/2014,66.8,66.83,65.88,66.15,3730400,65.62
1/13/2014,66.5,68.39,66.21,66.38,4265100,65.85
1/10/2014,65.5,66.3,65.2,66,3663300,65.47
1/9/2014,64.88,65.72,64.44,65.34,3334700,64.82
1/8/2014,64.91,65.55,64.63,65.4,3623700,64.88
1/7/2014,65.21,65.55,64.74,64.9,4722800,64.38
1/6/2014,62.78,64.15,62.18,63.64,5594100,63.13
1/3/2014,61.71,62,61.1,61.19,2675000,60.7
1/2/2014,61.7,62.22,61.48,61.71,2001900,61.22
12/31/2013,62.08,62.26,61.76,61.95,1860700,61.46
12/30/2013,62.23,62.44,61.77,61.94,1718600,61.45
12/27/2013,62.76,63,62.07,62.25,1532400,61.75
12/26/2013,62.62,63.15,61.73,62.74,1702100,61.99
12/24/2013,62.36,62.92,62.25,62.51,531400,61.77
12/23/2013,61.95,62.53,61.75,62.43,1989900,61.69
12/20/2013,60.99,61.93,60.83,61.89,3616500,61.15
12/19/2013,60.15,61.12,60.05,60.82,2198400,60.1
12/18/2013,59.05,60.78,58.87,60.51,3592800,59.79
12/17/2013,58.6,59.63,58.48,59.42,2167600,58.71
12/16/2013,58.92,59.56,58.92,59.04,2470900,58.34
12/13/2013,57.92,58.21,57.32,57.99,2379600,57.3
12/12/2013,58.74,58.97,57.3,58.01,2784700,57.32
12/11/2013,59.34,59.64,58.03,58.15,3281900,57.46
12/10/2013,59.13,59.69,59.08,59.41,1676700,58.7
12/9/2013,59.72,59.96,59,59.11,1903800,58.41
12/6/2013,58.8,59.85,58.8,59.75,2183800,59.04
12/5/2013,58.21,58.37,57.75,58.08,1579800,57.39
12/4/2013,59.45,59.72,57.88,58.37,2838800,57.67
12/3/2013,58.62,59.88,58.55,59.87,2718300,59.16
12/2/2013,58.52,59.39,58.29,58.98,1373000,58.28
11/29/2013,59.21,59.24,58.39,58.42,834000,57.72
11/27/2013,57.96,59.29,57.96,59.03,1359500,58.33
11/26/2013,58.43,58.58,58,58.01,1496200,57.32
11/25/2013,58.22,58.85,58.06,58.43,1480900,57.73
11/22/2013,57.77,58.21,57.4,58.06,1210800,57.37
11/21/2013,57,58.05,56.98,57.94,1668100,57.25
11/20/2013,57,57.45,56.61,56.8,1104500,56.12
11/19/2013,56.81,57.26,56.39,56.93,1378700,56.25
11/18/2013,57.63,57.67,56.54,56.81,1161800,56.13
11/15/2013,57.41,57.68,57.27,57.37,1724300,56.69
11/14/2013,57.75,57.84,57.18,57.52,1403100,56.83
11/13/2013,56.75,57.66,56.54,57.66,1350900,56.97
11/12/2013,56.92,56.92,56.31,56.83,1414900,56.15
11/11/2013,57.14,57.38,56.9,57,597600,56.32
11/8/2013,56.36,57,56.02,56.99,1599200,56.31
11/7/2013,57.01,57.18,56.14,56.22,2252300,55.55
11/6/2013,57.62,57.72,56.6,56.78,2038300,56.1
11/5/2013,58.26,58.26,56.95,57.53,3110200,56.84
11/4/2013,58.14,58.99,58.01,58.89,1587700,58.19
11/1/2013,57.4,58.27,57.29,58.14,1858300,57.45
10/31/2013,57.86,58.18,57.36,57.39,1885700,56.71
10/30/2013,58.4,58.51,57.66,57.82,1876000,57.13
10/29/2013,57.68,58.39,57.54,58.35,1883800,57.66
10/28/2013,57.15,57.92,56.87,57.63,2238200,56.94
10/25/2013,56.65,57.36,56.54,57.27,1914200,56.59
10/24/2013,56.55,56.72,56.15,56.49,1436100,55.82
10/23/2013,56.1,56.83,55.73,56.72,1617000,56.04
10/22/2013,56.7,56.93,56.05,56.24,2518600,55.57
10/21/2013,56.86,56.87,56.09,56.54,1394400,55.87
10/18/2013,56.26,56.86,56.11,56.84,3217700,56.16
10/17/2013,55.96,56.85,55.88,56.65,2379700,55.98
10/16/2013,53.72,56.08,53.51,56.04,3642800,55.37
10/15/2013,56.06,56.06,55.29,55.38,2664200,54.72
10/14/2013,55.63,56.25,55.43,56.03,2140700,55.36
10/11/2013,54.7,55.36,54.54,55.16,1907600,54.5
10/10/2013,55.45,55.58,53.97,54.64,3417600,53.99
10/9/2013,54.67,56.21,54.55,55.56,5623800,54.9
10/8/2013,55.86,56.05,54.58,54.58,1866300,53.93
10/7/2013,55.75,56.57,55.66,55.88,2306600,55.21
10/4/2013,55.5,57.17,55.25,56.23,6627600,55.56
10/3/2013,54.72,55,53.94,54.79,2306300,54.14
10/2/2013,54.44,54.86,54.04,54.83,1817200,54.18
10/1/2013,53.62,54.5,53.48,54.46,1657400,53.81
9/30/2013,52.16,53.8,51.79,53.64,2147900,53
9/27/2013,52.57,52.78,52.09,52.39,1527200,51.77
9/26/2013,52.72,53,52.57,52.81,971200,52.18
9/25/2013,53.49,53.74,52.74,52.75,1129200,51.87
9/24/2013,53.63,53.84,53.13,53.47,1288300,52.58
9/23/2013,53.64,53.79,53.26,53.62,732600,52.73
9/20/2013,53.89,54.14,53.58,53.67,2076800,52.78
9/19/2013,53.99,54.36,53.83,53.89,977400,53
9/18/2013,53.69,54.15,53.36,54.03,1125600,53.13
9/17/2013,53.02,53.9,53.02,53.81,1145000,52.92
9/16/2013,53.36,53.49,52.95,53.07,1265400,52.19
9/13/2013,53.09,53.24,52.69,52.82,908500,51.94
9/12/2013,53.02,53.35,52.83,53.09,1397100,52.21
9/11/2013,53.41,53.77,51.85,53,3985400,52.12
9/10/2013,52.87,53.48,52.84,53.41,1125400,52.52
9/9/2013,52.57,52.75,52.13,52.49,1174600,51.62
9/6/2013,51.27,53.11,51.27,52.52,3155300,51.65
9/5/2013,50.98,51.53,50.93,50.96,1119400,50.11
9/4/2013,50.4,51.06,50.4,51,1529500,50.15
9/3/2013,50.75,51.27,49.94,50.28,1292400,49.45
8/30/2013,50.73,50.73,50.21,50.41,870500,49.57
8/29/2013,50.26,50.93,50.12,50.6,631200,49.76
8/28/2013,50.49,50.85,50.14,50.61,1006500,49.77
8/27/2013,51.75,51.8,50.32,50.45,1368400,49.61
8/26/2013,52.05,52.59,51.98,52.09,717900,51.23
8/23/2013,51.97,51.99,51.2,51.92,1129500,51.06
8/22/2013,51.79,52.24,51.64,51.93,1173200,51.07
8/21/2013,51.99,52.02,51.15,51.6,1263000,50.74
8/20/2013,51.46,52.25,51.19,52.09,1320300,51.23
8/19/2013,51.27,51.67,51.05,51.44,2148300,50.59
8/16/2013,51.94,52.02,51.16,51.47,1771700,50.62
8/15/2013,53,53.07,52.08,52.14,856700,51.27
8/14/2013,53.31,53.75,53.21,53.38,1874400,52.49
8/13/2013,53.6,53.77,52.89,53.3,1240900,52.42
8/12/2013,53.5,53.78,53.27,53.6,956200,52.71
8/9/2013,53.42,54.06,53.38,53.85,1818000,52.96
8/8/2013,53.2,53.5,53.07,53.38,984200,52.49
8/7/2013,52.74,53.25,52.71,53.06,1298300,52.18
8/6/2013,52.81,53.09,52.47,52.95,1164700,52.07
8/5/2013,52.75,53.04,52.51,52.8,772000,51.92
8/2/2013,52.92,53.39,52.47,52.96,1323700,52.08
8/1/2013,52.57,53.09,52.45,53,1386900,52.12
7/31/2013,51.93,52.84,51.76,52.39,1796300,51.52
7/30/2013,52.24,52.61,51.89,52,1341800,51.14
7/29/2013,52.41,52.48,51.65,52.15,845000,51.28
7/26/2013,52,52.45,51.77,52.4,1133400,51.53
7/25/2013,52.04,52.21,51.67,52.08,1361000,51.22
7/24/2013,52.5,52.68,51.73,51.93,1094800,51.07
7/23/2013,52.12,52.51,51.82,52.43,1818600,51.56
7/22/2013,51.62,52.24,51.46,52,1815000,51.14
7/19/2013,50.56,51.72,50.43,51.69,2706200,50.83
7/18/2013,50.87,51.67,50.44,51.51,2931100,50.66
7/17/2013,50.05,52.72,49.94,51,7177500,50.15
7/16/2013,48.93,49.3,48.37,48.46,2241900,47.66
7/15/2013,48.33,48.91,48.21,48.89,1018900,48.08
7/12/2013,47.96,48.44,47.77,48.41,1159800,47.61
7/11/2013,47.63,48.14,47.37,47.96,1873400,47.16
7/10/2013,47.3,47.48,46.9,47.07,1666100,46.29
7/9/2013,47,47.47,46.75,47.37,1741000,46.58
7/8/2013,46.66,47.05,46.35,46.84,1166700,46.06
7/5/2013,45.86,46.4,45.82,46.38,877000,45.61
7/3/2013,45.58,46.22,45.38,45.6,1839900,44.84
7/2/2013,45.64,46.08,45.44,45.86,2800400,45.1
7/1/2013,45.75,46.28,45.6,45.92,1661700,45.16
6/28/2013,45.48,46.08,45.34,45.63,2792900,44.87
6/27/2013,44.99,45.76,44.96,45.65,2047900,44.89
6/26/2013,45.2,45.63,44.67,44.67,3349200,43.93
6/25/2013,45.12,45.52,44.89,45.29,3463900,44.29
6/24/2013,44.28,45.07,43.95,44.84,3029200,43.85
6/21/2013,44.45,45.13,44.13,44.67,3402900,43.69
6/20/2013,45.02,45.02,43.97,44.07,2546600,43.1
6/19/2013,45.81,46.18,45.24,45.32,1759800,44.32
6/18/2013,45.74,45.92,45.45,45.87,1189700,44.86
6/17/2013,45.35,45.94,45.35,45.66,1800500,44.65
6/14/2013,45.01,45.47,44.91,45.06,1858900,44.07
6/13/2013,44.46,45.1,43.72,45.06,1493200,44.07
6/12/2013,45.31,45.81,44.6,44.67,2847400,43.69
6/11/2013,43.61,44.22,43.5,43.83,1164200,42.86
6/10/2013,43.99,44.07,43.55,44.06,1340500,43.09
6/7/2013,43.74,44.01,43.4,43.99,1524200,43.02
6/6/2013,42.47,43.25,42.2,43.25,1719900,42.3
6/5/2013,42.11,43.2,42.03,42.49,2870300,41.55
6/4/2013,43.35,43.49,42.24,42.52,2123900,41.58
6/3/2013,43.4,43.4,42.73,43.35,2197200,42.4
5/31/2013,44.3,44.57,43.22,43.23,3402600,42.28
5/30/2013,44.15,44.7,44,44.34,1717100,43.36
5/29/2013,44.17,44.36,43.83,44.22,1814000,43.25
5/28/2013,44.64,45.17,44.42,44.48,2433700,43.5
5/24/2013,44.86,45.44,44.6,45.15,1085300,44.16
5/23/2013,45.41,45.62,44.97,45.17,2229000,44.18
5/22/2013,46.8,47.45,45.43,45.7,2823100,44.69
5/21/2013,46.85,47.39,46.7,46.78,2865500,45.75
5/20/2013,46.84,47.22,46.56,46.72,2544900,45.69
5/17/2013,46.84,47.16,46.7,47,2260200,45.96
5/16/2013,46.35,47.14,46.28,46.82,3427600,45.79
5/15/2013,46.13,46.64,45.89,46.57,2699800,45.54
