Date,Open,High,Low,Close,Volume,Adj Close
1/30/2014,42.61,42.93,42.43,42.69,6703000,42.14
1/29/2014,42.32,42.75,42.24,42.4,8619600,41.86
1/28/2014,42.58,42.93,42.3,42.9,6356100,42.06
1/27/2014,42.95,43.27,42.55,42.64,7360000,41.8
1/24/2014,43.79,44.03,42.88,42.95,10676700,42.11
1/23/2014,44.12,44.55,43.95,44.09,8236400,43.22
1/22/2014,43.7,44.82,43.55,44.61,9822000,43.73
1/21/2014,43.75,43.93,43.37,43.85,7413800,42.99
1/17/2014,43.2,43.85,43.01,43.45,6614200,42.6
1/16/2014,43.52,43.6,43.24,43.37,4086900,42.52
1/15/2014,43.45,43.65,43.1,43.54,6605400,42.68
1/14/2014,42.5,43.4,42.35,43.34,6892700,42.49
1/13/2014,42.96,43.1,42.12,42.24,6759100,41.41
1/10/2014,43.15,43.25,42.74,43.11,5330900,42.26
1/9/2014,43.28,43.39,42.9,43.06,3383800,42.21
1/8/2014,42.96,43.32,42.62,43.29,6353500,42.44
1/7/2014,42.98,43.11,42.64,42.7,5078900,41.86
1/6/2014,43.25,43.28,42.85,42.93,4446300,42.09
1/3/2014,43.12,43.46,42.97,43.29,4693300,42.44
1/2/2014,43.44,43.5,42.88,43.1,6959200,42.25
12/31/2013,44.04,44.09,43.79,43.91,2631300,43.05
12/30/2013,43.5,43.91,43.49,43.9,2445700,43.04
12/27/2013,43.77,43.83,43.59,43.67,1938000,42.81
12/26/2013,43.52,43.65,43.45,43.59,1960100,42.73
12/24/2013,43.31,43.6,43.25,43.43,1339900,42.58
12/23/2013,43,43.41,42.9,43.36,3908600,42.51
12/20/2013,42.76,43,42.49,42.84,8648200,42
12/19/2013,43.11,43.11,42.28,42.46,4910200,41.62
12/18/2013,42.51,43.1,42.05,43.1,6390700,42.25
12/17/2013,42.26,42.61,42.23,42.43,3570500,41.6
12/16/2013,42.18,42.58,42.05,42.29,4144400,41.46
12/13/2013,42.65,42.78,41.91,41.95,5596000,41.12
12/12/2013,42.33,42.75,42.3,42.42,6970500,41.59
12/11/2013,43.45,43.5,42.78,42.81,4169600,41.97
12/10/2013,43.49,43.65,43.28,43.41,5146200,42.56
12/9/2013,43.65,43.67,43.32,43.58,5121700,42.72
12/6/2013,43.01,43.56,43.01,43.49,4794000,42.63
12/5/2013,42.48,42.73,42.39,42.66,4486700,41.82
12/4/2013,42.67,43.07,42.22,42.43,6592500,41.6
12/3/2013,42.62,42.94,42.39,42.84,6318700,42
12/2/2013,42.95,43,42.72,42.81,4389600,41.97
11/29/2013,42.63,43.08,42.51,43,3756400,42.15
11/27/2013,42.1,42.58,41.94,42.52,4764300,41.68
11/26/2013,42.59,42.85,42.56,42.7,4181000,41.86
11/25/2013,42.66,42.74,42.42,42.55,6201200,41.71
11/22/2013,42.43,42.67,42.15,42.64,5002300,41.8
